Source_File,spectral_flatness,spectral_flux,spectral_variance,rms_spectral_difference,median_frequency,spectral_centroid,spectral_skewness,peak_frequency,spectral_entropy,dominant_frequency,spectral_kurtosis,psd_variance,spectral_spread,band_energy_ratio,spectral_rolloff,spectral_irregularity,spectral_slope,spectral_mean,sum_of_squares_spectral_difference,spectral_crest,matched_filter_rms,spectral_modulation_energy,psd_mean,spectral_sharpness,fault
B028_2.csv,0.284736333,1105487.087,3435.410651,46.512147,3023.4375,3013.484452,3.082826954,3058.59375,7.418253717,3058.59375,10.24624003,2.16E-08,726.2265003,0.040126905,3492.1875,0.647519355,0.000193216,29.96548817,1105487.087,13.29644825,65.8281181,2218670.66,8.82E-05,60.49733924,B028_2
B028_2.csv,0.314297184,1216192.221,2882.0426,48.78548878,3011.71875,2971.275405,3.555845969,3046.875,7.478446503,3046.875,15.59399583,1.15E-08,784.2931721,0.051545411,3468.75,0.722175802,-0.000208149,27.30982334,1216192.221,16.3555292,60.23179435,1857468.954,7.40E-05,62.12782057,B028_2
B028_2.csv,0.249863816,1294334.065,5193.503898,50.32835558,2953.125,2987.441935,3.543248903,2894.53125,7.283423251,2894.53125,15.18470003,3.32E-08,717.1707068,0.039067697,3445.3125,0.572660236,-7.61E-05,34.10307455,1294334.065,17.67232734,79.7278094,3254540.079,0.000129859,84.35519235,B028_2
B028_2.csv,0.324580282,1077975.734,4875.582692,45.92974586,2941.40625,2964.755452,3.85807229,2882.8125,7.435299918,2882.8125,19.67323782,3.74E-08,769.4785866,0.051291552,3445.3125,0.531883234,-0.000336276,34.33104787,1077975.734,18.64915959,77.80876261,3099752.212,0.000124576,72.72808978,B028_2
B028_2.csv,0.295128996,1816302.128,4074.057577,59.61885016,2953.125,2989.89209,4.088835606,2917.96875,7.386080652,2917.96875,20.64630867,3.15E-08,764.2004586,0.048245667,3468.75,0.757755409,-4.28E-05,30.23987123,1816302.128,18.16760377,70.62936633,2554115.783,0.000104172,77.11414903,B028_2
B028_2.csv,0.354519132,742518.0766,2782.365949,38.11913749,2953.125,3030.338028,3.343410325,3175.78125,7.545080308,3175.78125,12.55894362,1.67E-08,824.3808351,0.049253818,3574.21875,0.564145741,0.000331233,27.45208694,742518.0766,14.71389638,59.46413227,1810423.309,7.57E-05,53.40905597,B028_2
B028_2.csv,0.320136744,1235365.912,3873.593234,49.16854498,2917.96875,3004.704854,5.028055255,2894.53125,7.366587995,2894.53125,31.82908211,2.31E-08,794.9277637,0.048092367,3550.78125,0.654588239,9.70E-05,27.54936048,1235365.912,20.11589517,68.06291573,2371870.974,9.92E-05,70.5835706,B028_2
B028_2.csv,0.314001477,1658638.764,3831.653503,56.9725234,2917.96875,2981.841894,4.720634091,2753.90625,7.36959068,2753.90625,27.29101987,3.06E-08,786.3244206,0.051926679,3468.75,0.702250764,-0.000114374,27.89889534,1658638.764,18.39273514,67.89699451,2360320.954,0.00010035,70.02293973,B028_2
B028_2.csv,0.321214221,1165098.786,3248.341349,47.74973051,2929.6875,2990.888735,3.849749966,2894.53125,7.445188081,2894.53125,18.16555692,1.85E-08,787.4447214,0.05016089,3503.90625,0.653120763,-3.02E-05,27.83847048,1165098.786,16.72347823,63.42966016,2059940.755,9.03E-05,66.81215302,B028_2
B028_2.csv,0.280885403,1785537.836,4858.767536,59.11178564,2917.96875,2963.168804,4.235344296,2894.53125,7.313110883,2894.53125,22.2362486,4.39E-08,757.1125576,0.048725069,3445.3125,0.693073277,-0.000328498,31.81895232,1785537.836,18.162418,76.62384265,3006061.191,0.000129879,78.28822676,B028_2
